portco_id,period,fy,fy_quarter,fy_month_num,tech_mrr_actual,tech_mrr_budget,tech_mrr_prior_year,tech_mrr_ytd_actual,services_mrr_actual,services_mrr_budget,services_mrr_prior_year,services_mrr_ytd_actual,ecommerce_mrr_actual,ems_mrr_actual,tech_arr,ecommerce_arr,ems_arr,services_arr,revenue_ecommerce_actual,revenue_ecommerce_budget,revenue_ecommerce_prior_year,revenue_ems_actual,revenue_ems_budget,revenue_ems_prior_year,revenue_services_actual,revenue_services_budget,revenue_services_prior_year,revenue_total_actual,revenue_total_budget,revenue_total_prior_year,revenue_total_ytd_actual,revenue_total_ytd_budget,revenue_yoy_growth_pct,revenue_vs_budget_pct,revenue_ecom_success_fees,revenue_ecom_setup_fees,revenue_ecom_payment_fees,revenue_ems_subscription,revenue_ems_setup,revenue_ems_hardware,contribution_ecommerce,contribution_ecommerce_budget,contribution_ecommerce_py,contribution_ems,contribution_ems_budget,contribution_ems_py,contribution_services,contribution_services_budget,contribution_services_py,contribution_total,contribution_total_budget,contribution_total_py,contribution_total_ytd_actual,contribution_total_ytd_budget,direct_costs_ecommerce,direct_costs_ecommerce_budget,direct_costs_ems,direct_costs_ems_budget,direct_costs_services,direct_costs_services_budget,total_overheads,total_overheads_budget,total_overheads_py,ebitda_actual,ebitda_budget,ebitda_prior_year,ebitda_less_capex,ebitda_less_capex_budget,revenue_total_ytd_py,ebitda_ytd_py,cash_balance,cash_balance_bs_budget,cash_balance_bs_prior,net_working_capital,nwc_budget,nwc_prior_month,net_debt,cash_burn_monthly,capex,capex_budget,total_headcount,headcount_budget,headcount_prior_year,headcount_ecommerce,headcount_ems,headcount_services,headcount_central,gross_payroll,gross_payroll_budget,revenue_per_employee,modules_live_total,modules_live_ecommerce,modules_live_ems,modules_live_services,modules_pipeline,ebitda_ytd_actual,ebitda_ytd_budget,arpc_actual,arpc_budget,arpc_ytd_actual,arpc_ytd_budget,tech_gross_margin_pct,tech_gross_margin_budget_pct,tech_gross_margin_prior_pct,tech_gross_margin_ytd_pct,tech_gross_margin_ytd_budget_pct,ebitda_margin_pct,ebitda_margin_budget_pct,ebitda_margin_prior_pct,ebitda_margin_ytd_pct,ebitda_margin_ytd_budget_pct,cash_balance_budget,cash_balance_prior_month,free_cash_conversion_month,free_cash_conversion_budget,free_cash_conversion_ytd,indicative_ev,sm_efficiency,sm_cost_ytd,tcv_ytd,ytd_revenue_growth_pct,ytd_revenue_growth_budget,time_to_value_days,time_to_value_excl_blocked,rule_of_40,revenue_churn_pct,revenue_churn_target,wf_revenue_start,wf_one_off_prev,wf_one_off_ytd,wf_recurring_growth,wf_arr_ytg,wf_weighted_pipeline,wf_budget_assumptions,wf_revenue_gap,wf_revenue_end,gl_arr_actual,gl_arr_covenant,gl_arr_ratio,gl_arr_threshold,gl_interest_cover_ratio,gl_debt_service_ratio,gl_cash_min_balance,gr_revenue_actual_ytd,gr_revenue_covenant_ytd,gr_revenue_ratio,gr_mrr_actual,gr_mrr_covenant,gr_mrr_ratio,gr_contribution_actual_ytd,gr_contribution_covenant_ytd,gr_contribution_ratio,gr_ebitda_capex_actual_ytd,gr_ebitda_capex_covenant_ytd,gr_ebitda_capex_ratio,gr_cash_actual,gr_cash_covenant,gr_cash_ratio,currency,data_source,era,computed_at
portco-alpha,2023-11-01,FY24,Q1,1,285.54384,323.5,,,,,,,,,3426.5260799999996,,,,183.80668,236.5,,139.06069,98.0,,277.56351,250.0,,600.43088,584.5,,600.43088,584.5,,2.73,,,,,,,37.58111,116.5,,8.91072,-42.0,,58.92595,36.0,,105.41778,110.5,,105.41778,110.5,-146.22557,-120.0,-130.14997,-140.0,-218.63756,-214.0,-313.05824,-345.27,,-207.64046,-234.77,,,,,,576.12102,584.6621183,,-413.5067,-285.3378817,,-3226.05998,208.65899,,,,,,,,,,,,,,,,,,-207.64046,-234.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,ma_parser:era1,era1,2026-04-17 11:28:00.446434+00:00
portco-alpha,2023-12-01,FY24,Q1,2,295.47067,336.5,,,,,,,,,3545.64804,,,,211.47067,248.5,,103.99068,98.0,,345.95516,345.0,,661.41651,691.5,,1261.99757,1276.0,,-4.35,,,,,,,67.84299,127.561,,-21.78709,-42.394,,90.97667,115.04,,137.03257,200.207,,242.60053,311.0,-143.62768,-120.939,-125.77777,-140.394,-254.97849,-229.96,-360.38843,-379.1,,-223.35586,-178.893,,,,,,1121.34367,133.0,,-76.34771,-832.0,,-3668.99994,-509.32331,,,,,,,,,,,,,,,,,,-430.84614,-413.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,ma_parser:era1,era1,2026-04-17 11:28:00.467041+00:00
portco-alpha,2024-01-01,FY24,Q1,3,315.77492,349.5,,,,,,,,,3789.29904,,,,204.27498,269.5,,133.6971,102.0,,248.93439999999995,263.0,,586.90648,634.5,,1849.90695,1910.5,,-7.5,,,,,,,83.63877000000002,129.33700000000002,,-1.692089999999979,-46.13100000000003,,33.51806999999994,49.170000000000016,,115.46474999999998,132.376,,359.4883399999999,443.5,-120.63620999999998,-140.16299999999998,-135.38919,-148.13100000000003,-215.41633,-213.83,-445.34677,-362.35,,-329.88202,-229.974,,,,,,660.5001100000001,3206.0,,164.0131799999998,2524.0,,-4782.49989,-985.1493299999996,,,,,,,,,,,,,,,,,,-761.8046300000003,-645.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,ma_parser:era1,era1,2026-04-17 11:28:00.488550+00:00
portco-alpha,2024-02-01,FY24,Q2,4,273.79171,376.5,,,,,,,,,3285.5005200000005,,,,187.43314,295.5,,122.45561,106.0,,271.76759,275.0,,581.65634,676.5,,2431.56329,2588.0,,-14.02,,,,,,,32.52368,139.969,,-27.96401,-61.135,,51.4482,51.75,,56.00787,130.584,,415.545,575.0,-154.90946,-155.531,-150.41962,-167.135,-220.31939,-223.25,-361.16393,-366.35,,-305.15606,-235.766,,,,,,801.23728,3269.0,,158.31612,2624.0,,-5271.76272,-489.17337,,,,,,,,,,,,,,,,,,-1066.9119,-880.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,ma_parser:era1,era1,2026-04-17 11:28:00.511314+00:00
portco-alpha,2024-03-01,FY24,Q2,5,309.41935,399.5,,,,,,,,,3713.0322,,,,196.20584,309.5,,156.98522,118.0,,226.48559,289.0,,579.67665,716.5,,3011.23994,3304.5,,-19.1,,,,,,,35.26071,159.091,,10.39358,-33.565,,-18.404,75.3,,27.25029,200.826,,442.79529,775.5,-160.94513,-150.409,-146.59164,-151.565,-244.88959,-213.7,-356.84474,-378.6,,-329.59445,-177.774,,,,,,217.38211,2774.0,,-725.53348,2063.0,,-5726.61789,-401.72633,,,,,,,,,,,,,,,,,,-1396.41266,-1058.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,ma_parser:era1,era1,2026-04-17 11:28:00.536110+00:00
portco-alpha,2024-04-01,FY24,Q2,6,290.83747,305.0,,,,,,,,,3490.04964,,,,198.27717,200.0,,128.9134,136.0,,262.51118,273.0,,589.70175,609.0,,3600.94169,3618.9,,-3.17,,,,,,,29.72259,47.0,,-17.94608,-6.0,,28.24502,38.451,,40.02153,79.451,,482.81682,522.725,-168.55458,-153.0,-146.85948,-142.0,-234.26616,-234.549,-356.57637,-341.782,,-316.55484,-262.331,,-526.32956,-472.10572,,,203.36264,203.0,,-1140.94085,-1144.0,,-5842.63736,-114.60905,-209.77472,-209.77472,150.0,,,,,,,,,,,,,,,-1712.9675,-1659.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,ma_parser:era1,era1,2026-04-17 11:28:00.566059+00:00
portco-alpha,2024-05-01,FY24,Q3,7,311.39298,335.0,,,,,,,,,3736.71576,,,,207.06351,224.0,,148.71668,141.5,,260.63511,278.0,,616.4153,643.5,,4217.35699,4262.825,,-4.21,,,,,,,42.14131,62.45,,-24.37213,-19.9,,18.005,42.951,,35.77418,85.501,,518.591,608.011,-164.9222,-161.55,-173.08881,-161.4,-242.63011,-232.049,-317.62868,-291.782,,-281.8545,-206.281,,-468.75271,-393.17921,,,304.31335,232.0,,-856.48751,-597.0,,-5741.68665,101.51422,-186.89821,-186.89821,148.0,,,,,,,,,,,,,,,-1994.822,-1865.553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,ma_parser:era1,era1,2026-04-17 11:28:00.593234+00:00
portco-alpha,2024-06-01,FY24,Q3,8,311.69729,357.0,,,,,,,,,3740.36748,,,,213.31929,243.0,,144.65532,144.5,,285.07511,286.0,,643.04972,673.5,,4860.40671,4935.829,,-4.52,,,,,,,51.46145,103.983,,2.20806,4.5,,97.36865,95.982,,151.03816,204.465,,669.62916,812.225,-161.85784,-139.017,-142.44726,-140.0,-187.70646,-190.018,-301.14513,-246.687,,-150.10697,-42.222,,-324.82346,-167.222,,,184.30709,480.0,,-996.38016,-602.0,,-5959.34586,-217.06651,-174.71649,-125.0,129.0,,,,,,,,,,,,,,,-2144.92897,-1908.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,ma_parser:era1,era1,2026-04-17 11:28:00.614695+00:00
portco-alpha,2024-07-01,FY24,Q3,9,345.72157,374.0,,,,,,,,,4148.65884,,,,240.21261,257.0,,120.71461,147.5,,278.61583,293.0,,639.54305,697.5,,5499.9497599999995,5633.415999999999,,-8.31,,,,,,,88.96520999999996,123.852,,-3.35345000000001,7.0,,93.58789000000002,102.482,,179.19964999999996,233.334,,848.8288099999995,1045.529,-151.24740000000003,-133.148,-124.06806,-140.5,-185.02794,-190.518,-302.82788000000005,-253.68700000000007,,-123.62823000000007,-20.353000000000065,,-237.79948000000007,-138.3530000000001,,,441.15131,786.0,,-1087.71857,-725.0,,-5902.50164,-455.7456700000005,-114.17125,-118.0,124.0,,,,,,,,,,,,,,,-2268.557200000001,-1928.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,ma_parser:era1,era1,2026-04-17 11:28:00.637374+00:00
portco-alpha,2024-08-01,FY24,Q4,10,344.69468,420.0,,,,,,,,,4136.33616,,,,240.46002,300.0,,144.79645,148.0,,274.10252,299.0,,659.35899,747.0,,6159.30875,6380.441000000001,,-11.73,,,,,,,80.99408,151.852,,15.33198999999999,-1.0,,94.82789000000002,107.982,,191.15396,258.834,,1039.9827699999996,1304.334,-159.46594,-148.148,-129.46446,-149.0,-179.27463,-191.018,-266.90097000000003,-212.445,,-75.74701000000002,46.38899999999998,,-192.82226000000003,-71.61100000000002,,,491.24659,998.0,,-1310.5299900000002,-802.0,,-5852.40636,50.09529000000117,-117.07525,-118.0,122.0,,,,,,,,,,,,,,,-2344.3042100000007,-1882.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,ma_parser:era1,era1,2026-04-17 11:28:00.658556+00:00
portco-alpha,2024-09-01,FY24,Q4,11,361.48179,433.0,,,,,,,,,4337.78148,,,,252.07936,311.0,,132.07007,152.0,,274.75969,306.5,,658.90912,769.5,,6818.21787,7151.062,,-14.37,,,,,,,96.86566,175.852,,-21.64716,17.5,,92.60563,114.982,,167.82413,308.334,,1207.8069,1613.481,-155.2137,-135.148,-153.71723,-134.5,-182.15406,-191.518,-264.78358,-208.065,,-96.95945,100.269,,-211.73504,-17.731,,,483.85838,619.0,,-1478.79747,-1212.0,,-5760.79457,91.61179,-114.77559,-118.0,122.0,,,,,,,,,,,,,,,-2441.26366,-1780.967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,ma_parser:era1,era1,2026-04-17 11:28:00.679752+00:00
portco-alpha,2024-10-01,FY24,Q4,12,374.96558,446.0,,,,,,,,,4499.58696,,,,270.38459,321.15,,131.67225,155.65,,289.73879,312.78,,691.79563,789.58,,7520.0135,7839.021,,-12.38,,,,,,,125.75092,189.324,,-7.77496,20.787,,112.29411,120.762,,230.27007,330.873,,1468.07697,1830.207,-144.63367,-131.826,-139.44721,-134.863,-177.44468,-192.018,-251.76965,-208.065,,-21.49958,122.808,,-147.50163,24.808,,,307.39797,387.0,,-1558.89418,-1231.0,,-5937.25498,-715.86985,-126.00205,-98.0,120.0,,,,,,,,,,,,,,,-2432.84256,-1782.241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,ma_parser:era1,era1,2026-04-17 11:28:00.702635+00:00
portco-alpha,2024-11-01,FY25,Q1,1,421.04124,459.67,,,,,,,,,5052.49488,,,,320.73123,349.07,184.0,147.21305,143.0,139.0,352.80896,360.5,278.0,820.75324,852.57,601.0,820.75324,852.353,36.56,-3.73,,,,,,,208.78839,220.55,38.0,19.99274,0.179,9.0,140.11261,152.13,59.0,368.89374,372.859,106.0,368.89374,373.47,-111.94284,-128.52,-127.22031,-142.821,-212.69635,-208.37,-241.59916,-248.0,-328.0,127.29458,124.859,-222.0,5.67358,26.712,,,1873.15965,3421.338,,1638.92843,2799.694,,-7601.84035,-2109.6922,-121.621,-98.147,115.0,,,,,,,,,,,,,,,127.29458,125.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,ma_parser:era1,era1,2026-04-17 11:28:00.725181+00:00
portco-alpha,2024-12-01,FY25,Q1,2,543.71339,530.43,,,,,,,,,6524.5606800000005,,,,428.86365,416.43,212.0,129.76002,147.9,105.0,352.75883,422.5,346.0,911.3825,986.83,663.0,1732.13574,1838.869,37.46,-7.65,,,,,,,314.97147,287.54,69.0,-4.37963,4.449,-20.0,110.00902,188.16,91.0,420.60086,480.149,140.0,789.4946,852.87,-113.89218,-128.89,-134.13965,-143.451,-242.74981,-234.34,-250.09712,-290.64,-348.0,170.50374,189.509,-208.0,54.84605,90.87,,,1889.01488,1854.339,,1456.2395,1161.306,,-7705.63807,-550.35413,-115.65769,-98.639,113.0,,,,,,,,,,,,,,,296.9838,314.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,ma_parser:era1,era1,2026-04-17 11:28:00.747384+00:00
portco-alpha,2025-01-01,FY25,Q1,3,457.2855,467.38,,,,,,,,,5487.426,,,,342.59917,350.58,204.0,143.91026,155.1,134.0,323.94487,324.5,249.0,810.4543,830.18,587.0,2527.93837,2669.102,38.07,-2.38,,,,,,,218.77716,220.33,83.0,7.72107,11.019,-1.0,114.32176,114.17,34.0,340.81999,345.519,116.0,1115.66292,1197.733,-123.82201,-130.25,-136.18919,-144.081,-209.62311,-210.33,-223.41284,-249.28,-445.0,117.40715,96.239,-329.0,7.3892,-2.892,,,1135.2547,1402.96,,1281.34335,955.175,,-8540.1093,-1419.57742,-110.01795,-99.131,105.0,,,,,,,,,,,,,,,384.64877,409.813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,ma_parser:era1,era1,2026-04-17 11:28:00.768913+00:00
portco-alpha,2025-02-01,FY25,Q2,4,412.68858,491.66,,,,,,,,,4952.26296,,,,308.47917,371.46,187.0,149.51841,162.3,122.0,334.71304,329.5,272.0,792.71062,863.26,581.0,3320.64899,3532.764,36.44,-8.17,,,,,,,184.09062,240.84,32.0,21.37057,17.589,-28.0,129.49371,118.19,52.0,334.9549,376.619,56.0,1450.61782,1572.745,-124.38855,-130.62,-128.14784,-144.711,-205.21933,-211.31,-218.73846,-249.926,-361.0,116.21644,126.693,-305.0,4.38848,27.066,,,1227.53198,1453.816,,1137.68633,967.3,,-8597.83202,-56.74062,-111.82796,-99.627,45.0,,,,,,,,,,,,,,,499.91663,534.899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,ma_parser:era1,era1,2026-04-17 11:28:00.791145+00:00
portco-alpha,2025-03-01,FY25,Q2,5,447.91408,542.29,,,,,,,,,5374.96896,,,,337.05698,403.59,196.0,142.5695,169.4,157.0,340.11723,342.5,226.0,819.74371,915.49,579.0,4140.3927,4448.669,41.58,-10.46,,,,,,,218.45776,271.6,35.0,8.55049,24.039,10.0,117.73774,130.2,-19.0,344.74599,425.839,26.0,1795.36539,1996.691,-118.59922,-131.99,-134.01901,-145.361,-222.37949,-212.3,-229.62984,-263.573,-357.0,115.11615,162.266,-331.0,3.71151,62.141,,,1532.99476,1580.952,,1199.36663,1014.214,,-8492.36924,109.85611,-111.40464,-100.125,44.0,,,,,,,,,,,,,,,614.9193,695.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,ma_parser:era1,era1,2026-04-17 11:28:00.812360+00:00
